,Memory,Edges,Nodes
0,0.269843,1666,966
1,15.74848,62816,33901
2,1.208916,5693,3041
3,2.853149,11011,6104
4,0.34103,2089,1160
5,3.953561,16595,9070
6,2.403518,9055,5021
7,0.093538,626,387
8,16.805005,68117,36711
