,Memory,Edges,Nodes
0,0.088112,386,233
1,3.286222,7108,3983
2,0.09986,503,298
3,0.696987,1731,1005
4,0.428107,1154,663
5,0.548678,1383,770
6,0.51829,1269,720
7,2.015995,4137,2333
8,0.06396,280,169
9,0.211128,559,343
10,1.629008,3286,1848
11,0.392992,1087,632
12,0.29288,861,499
13,1.777647,3676,2050
