,Memory,Edges,Nodes
0,0.357288,386,233
1,6.37931,7108,3983
2,3.253753,503,298
3,3.554436,1731,1005
4,3.484803,1154,663
5,3.56518,1383,770
6,3.603232,1269,720
7,4.358256,4137,2333
8,3.565884,280,169
9,3.592988,559,343
10,4.152937,3286,1848
11,3.883147,1087,632
12,3.895754,861,499
13,4.483839,3676,2050
