,Memory,Edges,Nodes
0,2.404375,4419,2818
1,31.980518,54841,34046
2,2.715512,5213,3372
3,32.260029,55494,34479
4,3.282539,6696,4119
5,10.519708,18429,11543
6,2.839229,5560,3524
7,2.932247,5869,3626
8,3.107455,6137,3932
9,6.331595,10454,6405
10,5.199819,8165,5179
11,0.650342,1474,940
12,1.184517,1971,1244
13,3.463855,6938,4472
14,0.829632,1858,1220
