,Memory,Edges,Nodes
0,1.50299072265625,4419,2818
1,3.1523032188415527,54841,34046
2,1.828946590423584,5213,3372
3,2.1292004585266113,55494,34479
4,2.0530812740325928,6696,4119
5,2.2788360118865967,18429,11543
6,2.9536290168762207,5560,3524
7,2.640091896057129,5869,3626
8,2.153252601623535,6137,3932
9,2.1773645877838135,10454,6405
10,2.38006329536438,8165,5179
11,2.896822452545166,1474,940
12,2.8729019165039062,1971,1244
13,2.241934061050415,6938,4472
14,2.3304221630096436,1858,1220
