,Memory,Edges,Nodes
0,36.242332,4419,2818
1,46.570754,54841,34046
2,38.706547,5213,3372
3,47.263265,55494,34479
4,41.069876,6696,4119
5,44.209989,18429,11543
6,41.729826,5560,3524
7,42.018745,5869,3626
8,42.116556,6137,3932
9,43.109954,10454,6405
10,43.044172,8165,5179
11,42.167806,1474,940
12,42.272393,1971,1244
13,43.234839,6938,4472
14,42.564226,1858,1220
