Instância,Tempo,Memória
100,0.0009982585906982422,9816
200,0.00099945068359375,17824
1000,0.005001068115234375,89052
2000,0.013509273529052734,176380
5000,0.052004098892211914,442076
10000,0.1295177936553955,886908
50000,0.7739658355712891,4451980
100000,1.8966243267059326,8801204
