Instância,Tempo,Maior Tempo,Menor Tempo,Memória
100,0.001,0.001,0.0,8224
200,0.001,0.001,0.0,16224
1000,0.003,0.004,0.003,80252
2000,0.008,0.009,0.008,160252
5000,0.026,0.028,0.023,400252
10000,0.047,0.047,0.047,800300
50000,0.251,0.254,0.247,4000300
100000,0.538,0.606,0.471,8000300
1000000,4.937,5.025,4.849,80000300
5000000,27.216,27.337,27.095,400000300
10000000,53.519,54.817,52.222,800000300
