Instância,Tempo,Maior Tempo,Menor Tempo,Memória
100,0.008,0.016,0.0,12228
200,0.055,0.063,0.048,21940
1000,1.221,1.291,1.152,126332
2000,4.602,4.676,4.528,263592
5000,30.349,33.08,27.618,628588
10000,125.065,126.154,123.976,1301792
50000,4065.236,5356.61,2773.861,6569164
