Instância,Tempo,Maior Tempo,Menor Tempo,Memória
100,0.001,0.001,0.0,2484
200,0.0,0.0,0.0,2948
1000,0.001,0.002,0.001,9348
2000,0.001,0.002,0.001,17348
5000,0.003,0.003,0.003,41348
10000,0.005,0.006,0.005,81348
50000,0.046,0.048,0.044,401348
100000,0.093,0.094,0.093,801348
