Instância,Tempo,Maior Tempo,Menor Tempo,Memória
100,0.017,0.017,0.017,12228
200,0.058,0.058,0.058,21368
1000,1.345,1.345,1.345,125636
2000,4.994,4.994,4.994,263880
5000,38.494,38.494,38.494,648440
10000,211.519,211.519,211.519,1298092
50000,5307.754,5307.754,5307.754,6580068
