Instância,Tempo,Maior Tempo,Menor Tempo,Memória
100,0.016,0.017,0.015,12168
200,0.059,0.061,0.057,21940
1000,1.403,1.478,1.327,122440
2000,4.932,5.137,4.726,263060
5000,29.156,29.586,28.725,637800
10000,116.782,117.122,116.442,1302352
